49	Käibemaks	1433096027	0
50	Tulumaks	474090619	0
51	Sotsiaalmaksud	1923903442	0
52	Aktsiisid	777404000	0
54	Mittemaksutulud	1442417899	0
56	Füüsilise isiku tulumaks	253457722	50
57	Juriidilise isiku tulumaks	220632897	50
58	Sotsiaalmaks	1923903442	51
60	Alkoholiaktsiis	193000000	52
61	Tubakaaktsiis	169000000	52
62	Kütuseaktsiis	382004000	52
63	Elektriaktsiis	33300000	52
64	Pakendiaktsiis	100000	52
65	Hasartmängumaks	19800000	72
66	Tollimaks	33200000	72
67	Kaupade ja teenuste müük	114308709	54
68	Toetused, sh CO2 kvootide müük	1051720929	54
69	Varade müük	21145811	54
70	Tulud varadelt	201029835	54
71	Muud tulud	54212615	54
72	Muud maksud	56800000	0
73	Raskeveokimaks	3800000	72
